"DTI_CL_INDICADOR","Indicador","DTI_CL_ANO","Año","DTI_CL_PROVINCIA","Provincia","Value","Flag Codes","Flags"
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","_T","Total Nacional",401000,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL042","Provincia de Choapa",350000,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL043","Provincia de Limarí",303463.6,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL058","Provincia de Marga Marga",389698.7,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL055","Provincia de Quillota",350000,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL057","Provincia de San Felipe",350000,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL061","Provincia de Cachapoal",399691,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL063","Provincia de Colchagua",350000,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL073","Provincia de Curicó",340000,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL081","Provincia de Concepción",399691,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL082","Provincia de Arauco",349729.6,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL091","Provincia de Cautín",350000,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL101","Provincia de Llanquihue",400000,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL041","Provincia de Elqui",400000,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL051","Provincia de Valparaíso",433519.4,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL053","Provincia de Los Andes",400000,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL054","Provincia de Petorca",309760.5,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL056","Provincia de San Antonio",400000,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL062","Provincia de Cardenal Caro",350000,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL071","Provincia de Talca",350000,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL072","Provincia de Cauquenes",302455.4,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL074","Provincia de Linares",349729.6,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL083","Provincia de Biobío",380000,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL092","Provincia de Malleco",318753.5,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL103","Provincia de Osorno",350000,,
"ESI_YMEDIANO_OCU_P2017","Ingreso mediano nominal de la población ocupada (proyecciones base 2017)","2019","2019","CHL102_104","Provincias de Chiloé - Palena",352864.7,,
