COD_REG_RBD ,Nombre de la Región ,COD_PRO_RBD ,Nombre de la Provincia 
1,Región de Tarapacá ,11,Provincia de Iquique 
1,Región de Tarapacá ,14,Provincia del Tamarugal 
2,Región de Antofagasta ,21,Provincia de Antofagasta 
2,Región de Antofagasta ,22,Provincia de El Loa 
2,Región de Antofagasta ,23,Provincia de Tocopilla 
3,Región de Atacama ,31,Provincia de Copiapó 
3,Región de Atacama ,32,Provincia de Chañaral 
3,Región de Atacama ,33,Provincia de Huasco 
4,Región de Coquimbo ,41,Provincia de Elqui 
4,Región de Coquimbo ,42,Provincia de Choapa 
4,Región de Coquimbo ,43,Provincia de Limarí 
5,Región de Valparaíso ,51,Provincia de Valparaíso 
5,Región de Valparaíso ,52,Provincia de Isla de Pascua 
5,Región de Valparaíso ,53,Provincia de Los Andes 
5,Región de Valparaíso ,54,Provincia de Petorca 
5,Región de Valparaíso ,55,Provincia de Quillota 
5,Región de Valparaíso ,56,Provincia de San Antonio 
5,Región de Valparaíso ,57,Provincia de San Felipe de Aconcagua 
5,Región de Valparaíso ,58,Provincia de Marga Marga 
6,Región del Libertador Gral. Bernardo O'Higgins ,61,Provincia de Cachapoal 
6,Región del Libertador Gral. Bernardo O'Higgins ,62,Provincia de Cardenal Caro 
6,Región del Libertador Gral. Bernardo O'Higgins ,63,Provincia de Colchagua 
7,Región del Maule ,71,Provincia de Talca 
7,Región del Maule ,72,Provincia de Cauquenes 
7,Región del Maule ,73,Provincia de Curicó 
7,Región del Maule ,74,Provincia de Linares 
8,Región del Biobío ,81,Provincia de Concepción 
8,Región del Biobío ,82,Provincia de Arauco 
8,Región del Biobío ,83,Provincia de Biobío 
8,Región del Biobío ,84,Provincia de Ñuble 
9,Región de la Araucanía ,91,Provincia de Cautín 
9,Región de la Araucanía ,92,Provincia de Malleco 
10,Región de Los Lagos ,101,Provincia de Llanquihue 
10,Región de Los Lagos ,102,Provincia de Chiloé 
10,Región de Los Lagos ,103,Provincia de Osorno 
10,Región de Los Lagos ,104,Provincia de Palena 
11,Región de Aysén del Gral. Carlos Ibáñez del Campo ,111,Provincia de Coyhaique 
11,Región de Aysén del Gral. Carlos Ibáñez del Campo ,112,Provincia de Aysén 
11,Región de Aysén del Gral. Carlos Ibáñez del Campo ,113,Provincia de Capitán Prat 
11,Región de Aysén del Gral. Carlos Ibáñez del Campo ,114,Provincia de General Carrera 
12,Región de Magallanes y de la Antártica Chilena ,121,Provincia de Magallanes 
12,Región de Magallanes y de la Antártica Chilena ,122,Provincia de Antártica Chilena 
12,Región de Magallanes y de la Antártica Chilena ,123,Provincia de Tierra del Fuego 
12,Región de Magallanes y de la Antártica Chilena ,124,Provincia de Última Esperanza 
13,Región Metropolitana de Santiago ,131,Provincia de Santiago 
13,Región Metropolitana de Santiago ,132,Provincia de Cordillera 
13,Región Metropolitana de Santiago ,133,Provincia de Chacabuco 
13,Región Metropolitana de Santiago ,134,Provincia de Maipo 
13,Región Metropolitana de Santiago ,135,Provincia de Melipilla 
13,Región Metropolitana de Santiago ,136,Provincia de Talagante 
14,Región de Los Ríos ,141,Provincia de Valdivia 
14,Región de Los Ríos ,142,Provincia de Ranco 
15,Región de Arica y Parinacota ,151,Provincia de Arica 
15,Región de Arica y Parinacota ,152,Provincia de Parinacota
16, Región de Ñuble, 161, Provincia de Diguillin
16, Región de Ñuble, 162, Provincia de Itata
16, Región de Ñuble, 163, Provincia de Punilla
